t	x	y	theta	v	omega	v	omega
0	1.6126e-07	-1.52113e-09	0.000594352	3.58701e-06	0.000415768	0.2	0
0.07	0.0100492	2.15279e-06	-0.000144005	0.150131	-0.00503091	0.2	0
0.129	0.0201361	-3.96575e-07	-0.000338793	0.197273	-0.00239276	0.25	0
0.18	0.0303174	-5.04117e-06	-0.000590914	0.200342	-0.00521113	0.25	0
0.222	0.0406419	-1.2339e-05	-0.000782394	0.248305	-0.000957152	0.3	0
0.266	0.0506644	-2.11035e-05	-0.00101749	0.250309	-0.00695292	0.3	0
0.306	0.0608349	-3.27834e-05	-0.00127484	0.289338	-0.00595881	0.35	0
0.34	0.0709008	-4.63831e-05	-0.00142799	0.300224	-0.00792412	0.35	0
0.374	0.0811212	-6.23244e-05	-0.00170172	0.300282	-0.00816389	0.35	0
0.407	0.0911897	-8.06491e-05	-0.00194335	0.339188	-0.00753302	0.4	0
0.436	0.101206	-0.000101037	-0.00211999	0.349072	-0.00544192	0.4	0
0.463	0.111373	-0.000123859	-0.00238094	0.350302	-0.00927604	0.4	0
0.493	0.121533	-0.000149341	-0.00264035	0.350401	-0.008743	0.45	0
0.521	0.131752	-0.00017752	-0.0028608	0.39535	-0.00486	0.45	0
0.547	0.142116	-0.000207918	-0.00304536	0.400871	-0.0101514	0.45	0
0.572	0.15213	-0.000239644	-0.0033025	0.400324	-0.0103607	0.5	0
0.597	0.162139	-0.000273939	-0.00356002	0.400401	-0.00991238	0.5	0
0.62	0.172553	-0.000312209	-0.00378258	0.445735	-0.00684449	0.5	0
0.643	0.182869	-0.000352065	-0.00397641	0.450792	-0.0113957	0.5	0
0.667	0.193233	-0.000394591	-0.00424369	0.450334	-0.0118667	0.5	0
0.69	0.203591	-0.00043987	-0.00450663	0.450401	-0.0111527	0.5	0
0.712	0.21386	-0.000487366	-0.00474964	0.492741	-0.0110054	0.5	0
0.733	0.22427	-0.000537751	-0.00492805	0.498293	-0.00790523	0.5	0
0.753	0.23428	-0.00058825	-0.00518986	0.500808	-0.0140059	0.5	0
0.773	0.244289	-0.000641469	-0.00545646	0.500326	-0.0132103	0.5	0
0.792	0.254296	-0.000697241	-0.00569829	0.500403	-0.0118945	0.5	0
0.813	0.264304	-0.000755421	-0.00594183	0.500393	-0.0122265	0.5	0
0.833	0.274311	-0.000816099	-0.00619909	0.50034	-0.0129752	0.5	0
0.854	0.284792	-0.000882373	-0.00645841	0.498912	-0.0122442	0.5	0
0.874	0.295292	-0.00095143	-0.00670516	0.50052	-0.0116983	0.5	0
0.895	0.305296	-0.00101968	-0.00695297	0.499919	-0.012427	0.5	0
0.916	0.315793	-0.00109398	-0.00721558	0.499899	-0.0125088	0.5	0
0.935	0.325794	-0.00116729	-0.00745821	0.500071	-0.0121315	0.5	0
0.956	0.336294	-0.0012469	-0.0077177	0.500008	-0.0128305	0.5	0
0.978	0.346793	-0.00132928	-0.0079861	0.499905	-0.0123101	0.5	0
0.998	0.357293	-0.00141443	-0.008245	0.500073	-0.0124408	0.5	0
1.02	0.367793	-0.00150231	-0.00850576	0.500003	-0.012316	0.5	0
1.041	0.378292	-0.00159291	-0.00876438	0.499914	-0.0123123	0.5	0
1.062	0.388792	-0.00168622	-0.0090233	0.500108	-0.012373	0.5	0
1.083	0.399291	-0.00178227	-0.00928363	0.499957	-0.0124433	0.5	0
1.102	0.409791	-0.00188104	-0.00954109	0.499923	-0.0119621	0.5	0
1.122	0.42029	-0.00198249	-0.00979621	0.5001	-0.0123977	0.5	0
1.145	0.43079	-0.00208666	-0.0100586	0.499948	-0.0126058	0.5	0
1.167	0.441289	-0.00219358	-0.010318	0.499965	-0.0121225	0.5	0
1.188	0.451789	-0.00230319	-0.0105747	0.500062	-0.0122929	0.5	0
1.206	0.462288	-0.00241553	-0.010838	0.499947	-0.0126885	0.5	0
1.23	0.472787	-0.00253066	-0.0111045	0.500021	-0.0126939	0.5	0
1.251	0.483287	-0.00264854	-0.0113578	0.500031	-0.0118124	0.5	0
1.272	0.493786	-0.00276908	-0.011618	0.499959	-0.0125683	0.5	0
1.293	0.504285	-0.0028924	-0.0118852	0.500012	-0.0127596	0.5	0
1.313	0.514784	-0.00301848	-0.0121402	0.500014	-0.0119977	0.5	0
1.335	0.525284	-0.00314724	-0.012398	0.49996	-0.0123087	0.5	0
1.356	0.535783	-0.00327875	-0.0126661	0.499981	-0.0127866	0.5	0
1.377	0.546282	-0.00341301	-0.0129206	0.500027	-0.0120457	0.5	0
1.398	0.556781	-0.00354994	-0.0131743	0.500014	-0.0127866	0.5	0
1.419	0.56728	-0.0036896	-0.0134413	0.499949	-0.0123041	0.5	0
1.439	0.577779	-0.00383203	-0.0136989	0.500085	-0.0120893	0.5	0
1.461	0.588278	-0.00397713	-0.0139552	0.499998	-0.0125771	0.5	0
1.482	0.598777	-0.00412498	-0.0142189	0.499932	-0.0125022	0.5	0
1.503	0.609276	-0.00427558	-0.0144795	0.500076	-0.0122257	0.5	0
1.524	0.619775	-0.0044289	-0.0147363	0.499925	-0.012235	0.5	0
