t	x	y	theta	v	omega	v	omega
0	1.80219e-07	-1.63916e-09	0.00076253	-9.60124e-05	-5.19495e-05	0.2	0
0.071	0.010049	4.13169e-06	0.000107575	0.150143	-0.00643334	0.2	0
0.129	0.0201769	4.26059e-06	-5.14408e-05	0.196985	-0.00144507	0.25	0
0.18	0.0303692	2.46632e-06	-0.000310757	0.20035	-0.00508904	0.25	0
0.225	0.0405389	-1.76324e-06	-0.000470913	0.249002	-0.00024845	0.3	0
0.265	0.0505648	-7.56725e-06	-0.000727131	0.25032	-0.00683112	0.3	0
0.304	0.0606051	-1.6107e-05	-0.000968865	0.291132	-0.00590604	0.35	0
0.338	0.0707039	-2.67701e-05	-0.00115575	0.300665	-0.00783625	0.35	0
0.372	0.0809234	-3.99303e-05	-0.00143211	0.300346	-0.00833265	0.4	0
0.405	0.0911538	-5.58294e-05	-0.0016721	0.341856	-0.00683952	0.4	0
0.434	0.101204	-7.35216e-05	-0.00185583	0.350632	-0.00958632	0.4	0
0.463	0.111374	-9.37491e-05	-0.00212868	0.350314	-0.009117	0.4	0
0.492	0.121534	-0.000116639	-0.00238236	0.350398	-0.00858134	0.45	0
0.518	0.131546	-0.000141593	-0.00259836	0.396334	-0.00693926	0.45	0
0.543	0.141919	-0.000169528	-0.00281434	0.40097	-0.00990261	0.45	0
0.569	0.151932	-0.000198916	-0.0030699	0.400332	-0.0105176	0.5	0
0.594	0.161941	-0.000230869	-0.00332228	0.400402	-0.00996201	0.5	0
0.616	0.171945	-0.000265166	-0.00353514	0.445134	-0.00684192	0.5	0
0.64	0.182269	-0.000302469	-0.00372321	0.451141	-0.0129833	0.5	0
0.663	0.192633	-0.000342517	-0.00401006	0.450305	-0.0115126	0.5	0
0.685	0.202991	-0.000385339	-0.00426295	0.450343	-0.0104304	0.5	0
0.708	0.213216	-0.000430111	-0.00450529	0.491836	-0.0114203	0.5	0
0.729	0.223626	-0.000478196	-0.00474381	0.49756	-0.0113274	0.5	0
0.749	0.233629	-0.000526793	-0.00499138	0.500924	-0.0128291	0.5	0
0.769	0.243638	-0.000578	-0.00525558	0.500322	-0.0133729	0.5	0
0.789	0.253646	-0.000631817	-0.00550808	0.5004	-0.0123042	0.5	0
0.809	0.263653	-0.0006881	-0.00575111	0.500395	-0.0120868	0.5	0
0.829	0.273661	-0.000746833	-0.00600138	0.500402	-0.0126959	0.5	0
0.85	0.284143	-0.000811073	-0.00626833	0.498866	-0.0127185	0.5	0
0.87	0.294642	-0.000878147	-0.00651558	0.500488	-0.0114787	0.5	0
0.891	0.304646	-0.000944472	-0.00675862	0.499956	-0.0123201	0.5	0
0.912	0.315144	-0.00101675	-0.00702534	0.499998	-0.0128198	0.5	0
0.933	0.325644	-0.00109181	-0.00728336	0.499971	-0.0121981	0.5	0
0.954	0.336144	-0.00116956	-0.00753763	0.500023	-0.0120982	0.5	0
0.975	0.346644	-0.00125003	-0.0078029	0.499985	-0.0126589	0.5	0
0.996	0.357143	-0.00133326	-0.00806314	0.499943	-0.0122262	0.5	0
1.017	0.367643	-0.00141921	-0.00831972	0.500086	-0.0121411	0.5	0
1.038	0.378143	-0.00150784	-0.00857585	0.499916	-0.0125275	0.5	0
1.059	0.388642	-0.00159919	-0.00883795	0.500003	-0.0122829	0.5	0
1.077	0.399642	-0.00169783	-0.00910788	0.500064	-0.0122342	0.5	0
1.102	0.410141	-0.00179475	-0.00936823	0.499892	-0.012725	0.5	0
1.122	0.421641	-0.00190409	-0.00965723	0.500117	-0.0123572	0.5	0
1.146	0.43214	-0.00200678	-0.0099169	0.4999	-0.0123732	0.5	0
1.167	0.442639	-0.00211221	-0.0101774	0.499986	-0.0124261	0.5	0
1.188	0.453139	-0.00222037	-0.0104364	0.500091	-0.0122772	0.5	0
1.209	0.463638	-0.00233124	-0.0106968	0.499893	-0.012459	0.5	0
1.23	0.474138	-0.00244487	-0.0109596	0.499997	-0.0125375	0.5	0
1.251	0.484637	-0.00256122	-0.0112125	0.500062	-0.0118909	0.5	0
1.271	0.495137	-0.00268024	-0.0114712	0.499895	-0.0124167	0.5	0
1.293	0.505636	-0.00280199	-0.0117346	0.500043	-0.0125635	0.5	0
1.312	0.516135	-0.00292653	-0.0119995	0.50004	-0.0126223	0.5	0
1.335	0.526634	-0.0030538	-0.0122556	0.499942	-0.0121715	0.5	0
1.355	0.537133	-0.00318381	-0.0125202	0.500048	-0.0127065	0.5	0
1.377	0.547633	-0.0033166	-0.0127854	0.500021	-0.0118755	0.5	0
1.398	0.558132	-0.00345209	-0.0130367	0.499957	-0.0125279	0.5	0
1.419	0.568631	-0.00359029	-0.0133011	0.500002	-0.0128432	0.5	0
1.44	0.57913	-0.00373129	-0.013567	0.499982	-0.0120829	0.5	0
1.461	0.589629	-0.003875	-0.0138195	0.500015	-0.0118894	0.5	0
