t	x	y	theta	v	omega	v	omega
0	-5.35727e-08	7.01981e-07	-0.00752408	-1.27246e-05	0.00198771	0.1	0
0.09	0.0107897	-8.09992e-05	-0.00769203	0.128627	-0.00492084	0.2	0
0.15	0.0209666	-0.000160948	-0.0081337	0.179603	-0.0101628	0.25	0
0.21	0.0320078	-0.000254092	-0.00891901	0.188006	-0.0156174	0.3	0
0.26	0.0438088	-0.000364174	-0.0100995	0.23878	-0.0287326	0.3	0
0.31	0.0555131	-0.000489543	-0.0116498	0.230584	-0.0318504	0.35	0
0.35	0.0669065	-0.00062781	-0.0129718	0.280276	-0.0339931	0.35	0
0.39	0.0782902	-0.000781531	-0.014439	0.279954	-0.0383819	0.35	0
0.43	0.0906663	-0.000967876	-0.0160348	0.329614	-0.0412796	0.4	0
0.46	0.100737	-0.00113363	-0.017336	0.329266	-0.0444213	0.4	0
0.49	0.110832	-0.00131326	-0.0187138	0.330495	-0.0469183	0.4	0
0.52	0.121429	-0.00151697	-0.0201632	0.399982	-0.0490134	0.45	0
0.55	0.132817	-0.0017522	-0.0216619	0.378605	-0.0517765	0.45	0
0.58	0.144412	-0.00200936	-0.0232456	0.379908	-0.0532962	0.45	0
0.61	0.155988	-0.00228498	-0.0249207	0.379534	-0.0559387	0.5	0
0.64	0.169058	-0.0026183	-0.0266495	0.44998	-0.0584743	0.5	0
0.67	0.182137	-0.00297548	-0.0285995	0.449981	-0.0663464	0.5	0
0.7	0.195033	-0.00335301	-0.0306135	0.429188	-0.0675297	0.5	0
0.73	0.209128	-0.0037946	-0.0327017	0.480152	-0.0706748	0.5	0
0.76	0.223702	-0.00428185	-0.0348913	0.47974	-0.0741439	0.5	0
0.79	0.238274	-0.00480164	-0.0371653	0.499981	-0.076781	0.5	0
0.82	0.252641	-0.00534692	-0.0394929	0.478585	-0.0779863	0.5	0
0.85	0.267224	-0.00593504	-0.0419568	0.479877	-0.0812748	0.5	0
0.88	0.281842	-0.00656051	-0.0443975	0.481906	-0.081395	0.5	0
0.91	0.296476	-0.00722232	-0.0467737	0.483196	-0.0784234	0.5	0
0.94	0.311142	-0.00792012	-0.0489961	0.499985	-0.0719063	0.5	0
0.97	0.325738	-0.00864583	-0.0509557	0.487791	-0.0595362	0.5	0
1	0.340526	-0.00940858	-0.0526553	0.490813	-0.0552122	0.5	0
1.03	0.35536	-0.0101974	-0.0540433	0.493437	-0.0451762	0.5	0
1.06	0.37023	-0.0110081	-0.0552531	0.498256	-0.0379032	0.5	0
1.09	0.385133	-0.0118378	-0.0562609	0.499992	-0.0296679	0.5	0
1.12	0.400054	-0.0126824	-0.0570982	0.49855	-0.027029	0.5	0
1.15	0.415018	-0.0135412	-0.0577782	0.499592	-0.0225419	0.5	0
1.18	0.429994	-0.0144106	-0.0583645	0.500267	-0.0180441	0.5	0
1.21	0.444979	-0.0152887	-0.058855	0.499994	-0.0152757	0.5	0
1.24	0.45998	-0.0161749	-0.0592989	0.501021	-0.0145571	0.5	0
1.27	0.474974	-0.0170671	-0.0597072	0.501052	-0.0131468	0.5	0
1.3	0.489968	-0.0179654	-0.0600915	0.501027	-0.0126403	0.5	0
1.33	0.50496	-0.0188693	-0.0604651	0.500926	-0.0123853	0.5	0
1.36	0.51995	-0.0197786	-0.0608387	0.499994	-0.0124871	0.5	0
1.39	0.534944	-0.0206938	-0.0612121	0.500696	-0.0125117	0.5	0
1.42	0.549927	-0.021614	-0.0615856	0.500528	-0.0124191	0.5	0
1.45	0.564907	-0.0225396	-0.0619593	0.500377	-0.0124938	0.5	0
1.48	0.579884	-0.0234706	-0.0623368	0.500253	-0.0126263	0.5	0
1.51	0.594859	-0.0244072	-0.0627154	0.499993	-0.0127583	0.5	0
1.54	0.609833	-0.0253494	-0.0630959	0.500101	-0.0126455	0.5	0
1.57	0.624804	-0.0262972	-0.0634785	0.500038	-0.0126648	0.5	0
1.59	0.639773	-0.0272507	-0.0638615	0.499988	-0.012817	0.5	0
1.63	0.654742	-0.0282098	-0.0642469	0.499993	-0.0131625	0.5	0
1.66	0.66971	-0.0291748	-0.0646344	0.499982	-0.0127966	0.5	0
1.69	0.684678	-0.0301457	-0.0650488	0.499954	-0.0122057	0.5	0
