t	x	y	theta	v	omega	v	omega
0	1.05034e-08	-1.7619e-09	0.000729318	6.26154e-05	0.00028083	0.1	0
0.074	0.0100489	4.68955e-06	0.00011259	0.150151	-0.00317709	0.2	0
0.133	0.0202322	4.74136e-06	-0.000110668	0.197147	-0.00528079	0.25	0
0.183	0.0304183	2.27488e-06	-0.000378871	0.200344	-0.00533892	0.3	0
0.227	0.0407886	-2.7666e-06	-0.000580181	0.249016	-0.00276913	0.3	0
0.27	0.0508139	-9.4986e-06	-0.000819594	0.250319	-0.00602459	0.35	0
0.308	0.0608547	-1.88966e-05	-0.00104972	0.290981	-0.00474602	0.35	0
0.343	0.0709529	-3.03565e-05	-0.00124064	0.300414	-0.00659341	0.35	0
0.377	0.081173	-4.43585e-05	-0.00150659	0.300336	-0.00733843	0.35	0
0.41	0.0912812	-6.07663e-05	-0.00174011	0.339661	-0.00677749	0.4	0
0.439	0.101303	-7.92093e-05	-0.00196241	0.350141	-0.00892382	0.4	0
0.468	0.111473	-0.000100491	-0.00223565	0.350315	-0.00873745	0.45	0
0.497	0.121633	-0.000124454	-0.00249233	0.350399	-0.00906653	0.45	0
0.523	0.131648	-0.000150264	-0.00262407	0.396285	-0.00256731	0.45	0
0.549	0.142019	-0.000178456	-0.00284711	0.400838	-0.0111187	0.45	0
0.574	0.152032	-0.000208288	-0.00311484	0.40033	-0.0096562	0.45	0
0.599	0.162041	-0.000240629	-0.00335797	0.400401	-0.00979986	0.5	0
0.621	0.172045	-0.000275248	-0.00356082	0.445093	-0.00829646	0.5	0
0.645	0.182369	-0.000313141	-0.00380054	0.451113	-0.0110137	0.5	0
0.668	0.192732	-0.000353958	-0.00409054	0.450307	-0.0109432	0.5	0
0.691	0.203091	-0.000397576	-0.00434246	0.450401	-0.0110004	0.5	0
0.712	0.213403	-0.000443556	-0.00456948	0.493591	-0.00850137	0.5	0
0.734	0.223824	-0.000492099	-0.00477232	0.497971	-0.011975	0.5	0
0.754	0.23383	-0.000541008	-0.00502229	0.500824	-0.0134706	0.5	0
0.774	0.243839	-0.000592546	-0.00528443	0.500329	-0.0124313	0.5	0
0.793	0.253846	-0.000646609	-0.00553241	0.500403	-0.0123391	0.5	0
0.812	0.263854	-0.00070315	-0.00577962	0.500395	-0.0124009	0.5	0
