t	x	y	theta	v	omega	v	omega
0	-7.89201e-08	-1.78838e-09	0.000121997	-0.000103122	0.00020179	0.2	0
0.101	-3.69582e-08	-1.78342e-09	0.000119261	0.000129084	-0.000211396	0.2	0
0.201	1.22547e-07	-1.76375e-09	0.000124388	-0.000110383	0.000157127	0.2	0
0.24	0.0102123	5.02842e-07	-0.000203693	0.284087	-0.0216511	0.4	0
0.275	0.0203797	-5.11831e-06	-0.000880276	0.302098	-0.0161994	0.4	0
0.307	0.0306122	-1.63102e-05	-0.00125398	0.300253	-0.00634045	0.4	0
0.343	0.040825	-3.0226e-05	-0.0014876	0.300379	-0.00746818	0.4	0
0.376	0.0510377	-4.67347e-05	-0.00175086	0.300331	-0.00739958	0.5	0
0.407	0.0627139	-6.87759e-05	-0.00202004	0.384965	-0.00722018	0.5	0
0.44	0.0728937	-9.01175e-05	-0.00214735	0.397957	-0.002573	0.5	0
0.465	0.082922	-0.000112749	-0.00244268	0.40053	-0.0154063	0.5	0
0.49	0.0929289	-0.000138565	-0.00271539	0.400392	-0.00930193	0.5	0
0.515	0.102939	-0.000166869	-0.00295225	0.400387	-0.00984153	0.5	0
0.54	0.112948	-0.000197598	-0.00319671	0.400394	-0.00972012	0.5	0
0.565	0.122954	-0.000230794	-0.00345284	0.398921	-0.0104492	0.5	0
0.591	0.133328	-0.000267866	-0.00370182	0.400364	-0.00956576	0.5	0
0.614	0.143447	-0.000306374	-0.0038648	0.48822	-6.03303e-05	0.5	0
0.634	0.153796	-0.000346649	-0.00402293	0.499538	-0.0196678	0.5	0
0.655	0.163824	-0.000388805	-0.0043814	0.50064	-0.0153071	0.5	0
0.674	0.17383	-0.000434047	-0.0046574	0.500296	-0.0115397	0.5	0
0.695	0.183838	-0.00048176	-0.0048918	0.5004	-0.0119906	0.5	0
0.715	0.193845	-0.000531863	-0.0051366	0.500379	-0.0126136	0.5	0
0.734	0.203852	-0.000584467	-0.00538908	0.500385	-0.0126395	0.5	0
0.755	0.21386	-0.000639598	-0.00564099	0.500392	-0.0125305	0.5	0
0.775	0.223867	-0.000697235	-0.00588664	0.5004	-0.0119096	0.5	0
0.796	0.234338	-0.00076013	-0.00614166	0.49883	-0.0125249	0.5	0
0.817	0.244839	-0.000825934	-0.00640335	0.500664	-0.0123773	0.5	0
0.837	0.254847	-0.000891191	-0.00664869	0.499935	-0.0121318	0.5	0
0.858	0.265341	-0.000962244	-0.0069051	0.499912	-0.0122957	0.5	0
0.878	0.275342	-0.00103248	-0.0071547	0.500049	-0.0126641	0.5	0
0.898	0.285342	-0.00110522	-0.00740272	0.499925	-0.0121381	0.5	0
0.919	0.295842	-0.00118422	-0.00765707	0.500042	-0.0120883	0.5	0
0.937	0.305841	-0.00126195	-0.00790461	0.50001	-0.0126135	0.5	0
0.96	0.316341	-0.00134627	-0.00817061	0.49993	-0.0127066	0.5	0
0.98	0.326341	-0.00142916	-0.00841357	0.500092	-0.0117749	0.5	0
1	0.33634	-0.00151443	-0.00865761	0.50003	-0.0124873	0.5	0.0416948
1.021	0.34684	-0.00160666	-0.00892292	0.499944	-0.0127238	0.5	0.0416948
1.041	0.356839	-0.00169707	-0.00916867	0.500047	-0.0120528	0.5	0.0416948
1.061	0.366839	-0.00178991	-0.00941217	0.500052	-0.0122964	0.5	0.0416948
1.081	0.377338	-0.00189003	-0.0096754	0.499924	-0.0127142	0.5	0.0416948
1.102	0.387338	-0.00198797	-0.0099203	0.500048	-0.0119316	0.5	0.0416948
1.122	0.397338	-0.00208832	-0.0101636	0.500012	-0.0123241	0.5	0.0416948
1.142	0.407837	-0.00219634	-0.0104278	0.499953	-0.0127358	0.5	0.0416948
1.163	0.417836	-0.00230181	-0.0106772	0.500004	-0.0123236	0.5	0.0416948
1.183	0.427836	-0.00240973	-0.0109171	0.500046	-0.0118179	0.5	0.0416948
1.203	0.438335	-0.00252564	-0.0111763	0.499961	-0.0126106	0.5	0.0703513
1.224	0.448335	-0.00263743	-0.0110689	0.500019	0.0130799	0.5	0.0703513
1.245	0.458834	-0.00275106	-0.0104457	0.499977	0.036314	0.5	0.0703513
1.265	0.468834	-0.00285247	-0.00983431	0.500021	0.0286537	0.5	0.0703513
1.286	0.479333	-0.00295273	-0.00923603	0.500014	0.0284382	0.5	0.0703513
1.306	0.489333	-0.0030423	-0.00864513	0.499971	0.0298217	0.5	0.0703513
1.327	0.499833	-0.00312997	-0.00802459	0.500033	0.0294855	0.5	0.0703513
1.348	0.510332	-0.00321119	-0.00741838	0.500004	0.0287639	0.5	0.0703513
1.369	0.520832	-0.00328599	-0.00679925	0.500002	0.0295583	0.5	0.0703513
1.389	0.530832	-0.00335115	-0.00620207	0.499991	0.0298744	0.5	0.0703513
1.409	0.540832	-0.00341042	-0.00562449	0.500024	0.0288268	0.5	0.0982947
1.429	0.550832	-0.00346258	-0.00474793	0.499965	0.0446177	0.5	0.0982947
1.449	0.560832	-0.00350423	-0.00350378	0.500026	0.063133	0.5	0.0982947
1.47	0.571331	-0.00353493	-0.00229049	0.50002	0.0575078	0.5	0.0982947
1.49	0.581332	-0.00355241	-0.00114813	0.499942	0.0571183	0.5	0.0982947
1.51	0.591832	-0.00355833	7.85734e-05	0.500097	0.0583629	0.5	0.0982947
1.531	0.601832	-0.003552	0.00124483	0.499997	0.0573636	0.5	0.0982947
1.55	0.612831	-0.00353168	0.00250966	0.49998	0.0583077	0.5	0.0982947
1.572	0.622832	-0.00350104	0.00367579	0.500042	0.0582971	0.5	0.0982947
1.591	0.632832	-0.00345875	0.00483938	0.500023	0.0575128	0.5	0.0982947
1.613	0.643331	-0.00340186	0.00609205	0.499983	0.0687383	0.5	0.127376
1.63	0.653331	-0.00333434	0.00755567	0.500099	0.0909517	0.5	0.127376
1.648	0.663831	-0.00324546	0.00946565	0.499962	0.0909517	0.5	0.127376
1.676	0.67433	-0.00313704	0.0112687	0.49996	0.0860377	0.5	0.127376
