t	x	y	theta	v	omega	v	omega
0	5.07053e-05	1.29217e-09	7.52944e-05	0.000335012	0.00120857	0.2	0.15708
0.101	-4.94471e-06	-2.04131e-09	0.000105522	0.000307281	-0.00079873	0.2	0.15708
0.201	0.00395899	3.74342e-07	6.68815e-05	0.286982	-0.00403996	0.4	0.314159
0.236	0.0150635	-7.67446e-07	-0.000349498	0.289136	-0.0135138	0.4	0.314159
0.275	0.025215	9.57997e-06	0.00406239	0.300837	0.25778	0.4	0.314159
0.309	0.0354259	9.2842e-05	0.012216	0.300404	0.225624	0.4	0.314159
0.343	0.0456378	0.000255872	0.0199509	0.300368	0.228408	0.4	0.314159
0.376	0.055825	0.000497395	0.0276978	0.29866	0.22875	0.5	0.392699
0.405	0.0658336	0.000808554	0.0345265	0.391216	0.256998	0.5	0.392699
0.43	0.0761945	0.00120081	0.0414768	0.401494	0.309931	0.5	0.392699
0.456	0.0861965	0.00165313	0.0492001	0.400259	0.30578	0.5	0.392699
0.48	0.0961919	0.00218201	0.056813	0.400357	0.3029	0.5	0.392699
0.504	0.106183	0.00278676	0.0644061	0.400371	0.30419	0.5	0.392699
0.53	0.116968	0.00352523	0.0726312	0.400362	0.303801	0.5	0.392699
0.552	0.127747	0.00435228	0.0808271	0.400517	0.303133	0.5	0.392699
0.584	0.137757	0.00520017	0.0884383	0.479845	0.305323	0.5	0.471239
0.602	0.147932	0.00613417	0.094938	0.493592	0.312088	0.5	0.471239
0.625	0.160367	0.00736944	0.103681	0.501178	0.364334	0.5	0.471239
0.646	0.171312	0.0085527	0.112119	0.500248	0.385487	0.5	0.471239
0.672	0.181253	0.00970832	0.119726	0.500519	0.380073	0.5	0.471239
0.693	0.191184	0.0109395	0.127323	0.500354	0.379831	0.5	0.471239
0.712	0.201106	0.012246	0.134917	0.500369	0.379661	0.5	0.471239
0.732	0.211018	0.0136279	0.142506	0.500346	0.379379	0.5	0.471239
0.752	0.220919	0.015085	0.150121	0.500389	0.381288	0.5	0.471239
0.773	0.231268	0.0166906	0.158112	0.498409	0.380256	0.5	0.471239
0.794	0.241631	0.0183833	0.166096	0.500643	0.380176	0.5	0.549779
0.814	0.251494	0.0200779	0.174856	0.499804	0.452471	0.5	0.549779
0.835	0.26182	0.0219514	0.184622	0.499892	0.467978	0.5	0.549779
0.855	0.271643	0.0238303	0.193782	0.500054	0.456217	0.5	0.549779
0.875	0.281448	0.0257988	0.202957	0.499983	0.459215	0.5	0.549779
0.896	0.291722	0.0279623	0.212601	0.499894	0.45923	0.5	0.549779
0.917	0.301976	0.0302249	0.222226	0.500255	0.458182	0.5	0.549779
0.937	0.31172	0.0324715	0.231419	0.499985	0.459824	0.5	0.549779
0.958	0.321928	0.0349265	0.241055	0.499918	0.458748	0.5	0.549779
0.978	0.331629	0.0373561	0.250221	0.50006	0.458287	0.5	0.628319
0.998	0.341307	0.0398748	0.259419	0.499962	0.460013	0.5	0.628319
1.017	0.351924	0.0427524	0.270559	0.499956	0.549908	0.5	0.628319
1.041	0.361546	0.0454755	0.281544	0.500043	0.536705	0.5	0.628319
1.062	0.371617	0.0484468	0.292815	0.499875	0.536662	0.5	0.628319
1.083	0.381653	0.0515314	0.304087	0.500053	0.5375	0.5	0.628319
1.103	0.391179	0.0545745	0.314838	0.499914	0.537859	0.5	0.628319
1.123	0.401145	0.0578793	0.326132	0.499938	0.537405	0.5	0.628319
1.143	0.410602	0.0611317	0.33688	0.500665	0.537433	0.5	0.692782
1.164	0.420492	0.0646554	0.348167	0.499838	0.537579	0.5	0.692782
1.183	0.430342	0.0682905	0.359456	0.500035	0.537572	0.5	0.692782
1.206	0.439687	0.0718571	0.370618	0.500048	0.606111	0.5	0.692782
1.226	0.449449	0.0757191	0.383483	0.499857	0.6256	0.5	0.692782
1.247	0.458701	0.0795156	0.39592	0.500082	0.614809	0.5	0.692782
1.267	0.467905	0.0834261	0.408226	0.49992	0.616298	0.5	0.692782
1.287	0.477515	0.0876533	0.421165	0.49995	0.615899	0.5	0.692782
1.308	0.486617	0.091795	0.43349	0.499977	0.616767	0.5	0.692782
1.328	0.495668	0.0960485	0.445813	0.499884	0.615163	0.5	0.692782
1.349	0.505113	0.100634	0.45874	0.499998	0.61611	0.5	0.692782
1.369	0.514053	0.105115	0.47107	0.500286	0.617001	0.5	0.692782
1.39	0.52338	0.109937	0.484006	0.499978	0.614905	0.5	0.625718
1.409	0.532204	0.114644	0.496923	0.499949	0.683725	0.5	0.625718
1.431	0.541399	0.119712	0.511325	0.499954	0.687646	0.5	0.625718
1.451	0.550088	0.124662	0.52497	0.500009	0.677815	0.5	0.625718
1.472	0.559138	0.129986	0.53924	0.499941	0.680855	0.5	0.625718
1.492	0.567685	0.135176	0.552854	0.499953	0.680548	0.5	0.625718
1.513	0.576583	0.14075	0.567132	0.499887	0.679513	0.5	0.625718
1.534	0.585401	0.146451	0.581432	0.500057	0.681675	0.5	0.625718
1.554	0.593722	0.151998	0.595045	0.499869	0.680204	0.5	0.625718
1.575	0.602376	0.157942	0.609323	0.499937	0.679801	0.5	0.547178
1.595	0.61054	0.163718	0.622953	0.500094	0.682051	0.5	0.547178
1.616	0.619027	0.169898	0.636169	0.499887	0.612899	0.5	0.547178
1.636	0.627036	0.175886	0.648327	0.500018	0.606619	0.5	0.547178
1.656	0.634972	0.181971	0.660596	0.49995	0.615175	0.5	0.547178
1.677	0.643223	0.188464	0.673482	0.499893	0.61324	0.5	0.547178
1.697	0.651003	0.194746	0.685739	0.500392	0.612796	0.5	0.547178
1.716	0.658706	0.201124	0.698008	0.499863	0.613568	0.5	0.547178
1.738	0.666708	0.207921	0.710888	0.499938	0.613301	0.5	0.547178
1.757	0.674623	0.214821	0.723764	0.500034	0.613112	0.5	0.547178
1.78	0.682447	0.221822	0.736647	0.499854	0.6135	0.5	0.468638
1.8	0.690181	0.228923	0.749456	0.500214	0.541175	0.5	0.468638
1.821	0.697467	0.235773	0.760267	0.499896	0.528509	0.5	0.468638
1.841	0.705395	0.243397	0.771919	0.49998	0.536879	0.5	0.468638
1.863	0.712526	0.250409	0.782649	0.500292	0.534268	0.5	0.468638
1.883	0.71993	0.257853	0.79387	0.499871	0.534779	0.5	0.468638
1.905	0.727252	0.265379	0.805103	0.500067	0.53543	0.5	0.468638
1.925	0.734146	0.272623	0.815805	0.499927	0.534	0.5	0.468638
1.946	0.741299	0.280308	0.827025	0.499955	0.535134	0.5	0.468638
1.966	0.748033	0.287702	0.83773	0.500023	0.535404	0.5	0.468638
1.984	0.755017	0.295542	0.848961	0.499868	0.533672	0.5	0.390098
2.008	0.761912	0.303459	0.859782	0.499992	0.456326	0.5	0.390098
2.028	0.768406	0.311064	0.868858	0.500014	0.448015	0.5	0.390098
2.048	0.775149	0.319112	0.878336	0.499923	0.457963	0.5	0.390098
2.069	0.7815	0.326837	0.887489	0.500018	0.457107	0.5	0.390098
2.089	0.78778	0.334619	0.896622	0.499937	0.455812	0.5	0.390098
2.11	0.794297	0.342851	0.906197	0.499963	0.456068	0.5	0.390098
2.13	0.80043	0.35075	0.915326	0.499985	0.457112	0.5	0.390098
2.15	0.806491	0.358704	0.924458	0.49992	0.455776	0.5	0.390098
2.171	0.812777	0.367115	0.934032	0.500268	0.456132	0.5	0.390098
2.186	0.818981	0.375585	0.943621	0.500209	0.457083	0.5	0.311559
2.213	0.825105	0.384113	0.952617	0.49992	0.402353	0.5	0.311559
2.233	0.83087	0.392284	0.96026	0.499988	0.365613	0.5	0.311559
2.253	0.836575	0.400498	0.967729	0.499979	0.379826	0.5	0.311559
2.274	0.842497	0.409168	0.975681	0.499986	0.37778	0.5	0.311559
